transaction_date,label,amount,balance_bef_trn,categ,type,expense_slice,debcr,year,month,day,day_week,day_week_num,weekend,quart_month
2023-03-31,DONATION XX XX XX XX XX XX XX,-1.44,1515.2499999999982,OTHER,DONATION,small,debit,2023,3,31,Friday,5,False,4
2023-04-03,PAYMENT XX XX MTA XX,-24.0,1513.8099999999981,TRANSPORT,PAYMENT,small,debit,2023,4,3,Monday,1,False,1
2023-04-03,PAYMENT XX XX MTA XX,-73.0,1489.8099999999981,TRANSPORT,PAYMENT,small,debit,2023,4,3,Monday,1,False,1
2023-04-03,PAYMENT XX XX XX XX,-14.39,1416.8099999999981,OTHER,PAYMENT,small,debit,2023,4,3,Monday,1,False,1
2023-04-03,TRANSFER XX XX XX XX XX XX,4.8,1402.419999999998,OTHER,TRANSFER,(not an expense),credit,2023,4,3,Monday,1,False,1
2023-04-03,TRANSFER XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1407.219999999998,OTHER,TRANSFER,(not an expense),credit,2023,4,3,Monday,1,False,1
2023-04-05,PRE-AUTH PAYMENT XX TELEPHONE XX XX,-7.02,2083.219999999998,TELEPHONE BILL,OTHER,small,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,PAYMENT XX XX XX XX XX,-15.2,2076.199999999998,OTHER,PAYMENT,small,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,PAYMENT XX XX TRADER JANE’S XX,-6.8,2060.999999999998,GROCERIES,PAYMENT,small,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,PAYMENT XX XX XX XX,-12.0,2054.199999999998,OTHER,PAYMENT,small,debit,2023,4,5,Wednesday,3,False,1
2023-04-06,FEES SUPERBANK ACCOUNT XX XX XX XX,-1.84,2042.199999999998,BANK FEES,OTHER,small,debit,2023,4,6,Thursday,4,False,1
2023-04-07,TRANSFER XX XX XX XX XX XX XX XX XX XX,992.8,2040.359999999998,OTHER,TRANSFER,(not an expense),credit,2023,4,7,Friday,5,False,1
2023-04-10,PAYMENT XX XX VELOC XX XX,-2.7,3033.159999999998,TRANSPORT,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX TRADER JANE’S XX,-42.42,3030.4599999999978,GROCERIES,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX XX XX XX XX XX XX XX XX,-1.6,2988.0399999999977,OTHER,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX XX XX XX,-20.64,2986.439999999998,OTHER,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX XX XX XX XX,-6.0,2965.799999999998,OTHER,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX CHEZ LUC XX,-12.42,2959.799999999998,RESTAURANT,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX XX XX,-84.4,2947.379999999998,OTHER,PAYMENT,medium,debit,2023,4,10,Monday,1,False,2
2023-04-10,TRANSFER XX XX XX XX XX XX,1.6,2862.9799999999977,OTHER,TRANSFER,(not an expense),credit,2023,4,10,Monday,1,False,2
2023-04-10,PAYMENT XX XX XX XX XX,-24.0,2864.5799999999977,OTHER,PAYMENT,small,debit,2023,4,10,Monday,1,False,2
2023-04-11,TRANSFER XX XX XX XX XX XX XX,836.0,2840.5799999999977,OTHER,TRANSFER,(not an expense),credit,2023,4,11,Tuesday,2,False,2
2023-04-11,PAYMENT XX XX XX XX XX,-7.56,3676.5799999999977,OTHER,PAYMENT,small,debit,2023,4,11,Tuesday,2,False,2
2023-04-11,TRANSFER XX XX XX XX XX XX XX,869.44,3669.0199999999977,OTHER,TRANSFER,(not an expense),credit,2023,4,11,Tuesday,2,False,2
2023-04-11,PAYMENT XX XX XX XX,-48.0,4538.459999999997,OTHER,PAYMENT,small,debit,2023,4,11,Tuesday,2,False,2
2023-04-12,PAYMENT XX XX XX XX XX,-28.96,4490.459999999997,OTHER,PAYMENT,small,debit,2023,4,12,Wednesday,3,False,2
2023-04-13,XX XX XX XX XX XX XX,-280.0,4461.499999999998,OTHER,OTHER,large,debit,2023,4,13,Thursday,4,False,2
2023-04-14,PAYMENT XX XX XX XX XX,-0.8,4181.499999999998,OTHER,PAYMENT,small,debit,2023,4,14,Friday,5,False,2
2023-04-14,PAYMENT XX XX CHEZ LUC XX,-8.8,4180.699999999997,RESTAURANT,PAYMENT,small,debit,2023,4,14,Friday,5,False,2
2023-04-14,PAYMENT XX XX XX XX XX,-1.6,4171.899999999998,OTHER,PAYMENT,small,debit,2023,4,14,Friday,5,False,2
2023-04-15,PRE-AUTH PAYMENT RENT,-345.0,4170.299999999997,RENT,TRANSFER,large,debit,2023,4,15,Saturday,6,True,2
2023-04-18,PAYMENT XX XX VELOC XX XX,-1.7,3825.2999999999975,TRANSPORT,PAYMENT,small,debit,2023,4,18,Tuesday,2,False,3
2023-04-18,ATM WITHDRAWAL XX XX XX,-24.0,3823.5999999999976,OTHER,ATM WITHDRAWAL,small,debit,2023,4,18,Tuesday,2,False,3
2023-04-18,PAYMENT XX XX XX XX XX,-8.72,3799.5999999999976,OTHER,PAYMENT,small,debit,2023,4,18,Tuesday,2,False,3
2023-04-18,PAYMENT XX XX XX XX XX,-10.32,3790.879999999998,OTHER,PAYMENT,small,debit,2023,4,18,Tuesday,2,False,3
2023-04-18,TRANSFER XX XX XX XX XX XX,1.6,3780.5599999999977,OTHER,TRANSFER,(not an expense),credit,2023,4,18,Tuesday,2,False,3
2023-04-18,PAYMENT XX XX XX XX,-74.58,3782.1599999999976,OTHER,PAYMENT,small,debit,2023,4,18,Tuesday,2,False,3
2023-04-19,PAYMENT XX XX XX XX XX,-13.6,3707.5799999999977,OTHER,PAYMENT,small,debit,2023,4,19,Wednesday,3,False,3
2023-04-20,PAYMENT XX XX XX XX,-7.2,3693.9799999999977,OTHER,PAYMENT,small,debit,2023,4,20,Thursday,4,False,3
2023-04-21,PAYMENT XX XX CORNER STORE XX XX,-10.43,3686.779999999998,OTHER,PAYMENT,small,debit,2023,4,21,Friday,5,False,3
2023-04-24,PAYMENT XX XX XX XX XX,-7.84,3676.349999999998,OTHER,PAYMENT,small,debit,2023,4,24,Monday,1,False,3
2023-04-24,PAYMENT XX XX XX XX,-11.64,3668.509999999998,OTHER,PAYMENT,small,debit,2023,4,24,Monday,1,False,3
2023-04-24,PAYMENT XX XX CHEZ LUC XX,-9.2,3656.869999999998,RESTAURANT,PAYMENT,small,debit,2023,4,24,Monday,1,False,3
2023-04-25,PAYMENT XX XX TRADER JANE’S XX,-32.67,3647.6699999999983,GROCERIES,PAYMENT,small,debit,2023,4,25,Tuesday,2,False,4
